;tweetid;stance;sentiment;temporal_orientation
0;1507183830226341890;believe;neutral;future
1;1503018620787462145;believe;positive;present
2;1470854259809800194;believe;negative;future
3;1477439601186729984;believe;neutral;present
4;1480134570284666881;deny;negative;future
5;1476614192891416583;believe;positive;future
6;1477282192984363013;believe;negative;future
7;1514508902330957826;believe;positive;future
8;1480240715800223747;deny;neutral;present
9;1468940372852232197;believe;negative;future
10;1467805899905458177;believe;negative;present
11;1515518993482010630;believe;positive;past
12;1516459673956028418;believe;positive;future
13;1472632793104535558;believe;negative;past
14;1473784068944936969;believe;neutral;future
15;1459832412007976962;believe;neutral;future
16;1512485073647509509;believe;positive;present
17;1440330879704862727;believe;negative;past
18;1471934695889772548;believe;neutral;present
19;1460329254772609024;deny;negative;past
20;1514553993326129152;believe;positive;future
21;1515918976978948101;believe;positive;future
22;1498041918562856960;deny;negative;present
23;1467489408039337986;believe;positive;future
24;1469717021197840391;deny;positive;future
25;1476758313262010368;believe;neutral;present
26;1480072197960052737;believe;neutral;present
27;1479024376444067843;believe;neutral;present
28;1456287947943292930;believe;negative;past
29;1514262208334680077;believe;positive;present
30;1476670219791831043;believe;negative;past
31;1498979411391045632;believe;neutral;future
32;1514612545742868481;believe;positive;future
33;1474890553225535489;believe;neutral;past
34;1471737968813608961;believe;negative;future
35;1453414755306283009;believe;negative;future
36;1517440434464866306;believe;positive;future
37;1514564771521384449;believe;positive;future
38;1485086678649737217;believe;neutral;past
39;1481305899125948421;believe;neutral;future
40;1496619018886647808;deny;negative;present
41;1472614905316622337;believe;negative;present
42;1516544693512908802;believe;positive;future
43;1511033081624334336;believe;positive;past
44;1517660038801764354;believe;positive;future
45;1500217847821262851;believe;neutral;future
46;1460786421300563968;believe;neutral;present
47;1446689047670308865;believe;negative;future
48;1443570340911669248;believe;negative;future
49;1470269804137226244;deny;positive;future
50;1517258830425784320;believe;positive;present
51;1511413552837320708;believe;positive;future
52;1478176744435863554;believe;negative;past
53;1469715775178952705;believe;negative;future
54;1477681026046562311;deny;positive;future
55;1514264449582047237;believe;positive;future
56;1472617734269804550;believe;negative;past
57;1473188840789663744;believe;neutral;past
58;1458759886939078662;believe;positive;present
59;1478060630393294856;believe;neutral;past
60;1484061434959265794;deny;negative;past
61;1513837594404081670;believe;positive;past
62;1478051745133744132;believe;neutral;present
63;1509451649542021122;believe;neutral;future
64;1489204634514337795;deny;negative;future
65;1454480001135427592;believe;negative;present
66;1472707733040381953;believe;negative;future
67;1477941405779587073;believe;neutral;present
68;1514408420958695425;believe;positive;past
69;1471244119666266135;believe;negative;future
70;1475483777245880323;deny;negative;present
71;1486755102371332098;deny;negative;present
72;1460313524387864593;deny;positive;present
73;1474048999002882050;believe;neutral;present
74;1461067532320841733;believe;positive;past
75;1434957235550105605;believe;negative;future
76;1474100839585247232;believe;negative;future
77;1452359817083957251;believe;negative;future
78;1477526912755187717;believe;positive;future
79;1455593020045332482;deny;positive;future
80;1514093439125704706;believe;positive;present
81;1483233915829727232;deny;negative;future
82;1475918846217306112;believe;negative;present
83;1485717556216451078;believe;neutral;future
84;1467604213723193349;believe;negative;future
85;1514650051519590401;believe;positive;future
86;1469692071573618688;believe;negative;present
87;1470353358602919939;believe;negative;past
88;1470646761337327617;believe;positive;past
89;1474593676139638789;believe;negative;future
90;1516171607684825099;believe;neutral;past
91;1475507679372226560;believe;negative;past
92;1474910065509478408;deny;negative;past
93;1470376726798737420;believe;negative;past
94;1506246819071680514;believe;positive;future
95;1486412237321478156;deny;negative;present
96;1470113914918559749;believe;negative;past
97;1425874189114880004;believe;negative;present
98;1513572114959380485;believe;positive;future
99;1460862746908524552;believe;negative;future
100;1482730016756621313;believe;neutral;future
101;1483555996366745606;deny;positive;future
102;1516796007371227136;believe;positive;present
103;1485278025319071748;deny;negative;future
104;1468617587290423304;believe;negative;future
105;1467691706984198148;believe;positive;present
106;1514397853971406849;believe;positive;past
107;1507477262026907655;believe;positive;present
108;1514840639774416896;believe;positive;future
109;1510907850054414336;believe;positive;past
110;1490811366831058944;deny;negative;past
111;1483746174314205187;deny;negative;present
112;1473792848814395394;deny;negative;future
113;1481393785389076482;deny;neutral;future
114;1470165469256568832;believe;negative;future
115;1489398199060250626;deny;negative;present
116;1468133229576155136;believe;neutral;present
117;1478390984694190091;deny;positive;past
118;1477653372501176322;believe;neutral;future
119;1434262000763289601;believe;neutral;future
120;1461298154318733316;believe;negative;present
121;1481050874503999488;deny;negative;past
122;1500149369303146504;believe;positive;future
123;1474419986441674752;believe;neutral;future
124;1492883575095513092;deny;positive;past
125;1479126649643974658;believe;negative;future
126;1475586038106099720;deny;neutral;future
127;1473327860316356610;believe;negative;present
128;1460330173639933956;deny;positive;present
129;1468918749961068554;believe;negative;future
130;1480594334986555400;deny;negative;present
131;1438502486164197376;believe;negative;past
132;1460781894698606594;believe;neutral;future
133;1459883275649007623;deny;positive;future
134;1482676215433601026;deny;positive;past
135;1486680346175455239;deny;negative;future
136;1514694386986192896;believe;positive;future
137;1511007194686365703;believe;positive;future
138;1468477434324467713;deny;neutral;past
139;1476620291325366283;believe;neutral;present
140;1422568329353515016;deny;neutral;future
141;1501208602257805316;believe;neutral;past
142;1479164424468451328;believe;negative;future
143;1476008925409464323;believe;negative;future
144;1492092420804206594;deny;positive;present
145;1513639934741123080;believe;positive;future
146;1498650552632238083;believe;neutral;present
147;1511696627710545928;believe;positive;present
148;1459945466234347529;deny;negative;future
149;1517306088735264768;believe;positive;future
150;1470394159110533125;deny;neutral;present
151;1484566443781881856;believe;neutral;present
152;1486440002083078148;deny;negative;past
153;1504193313724723201;believe;neutral;future
154;1494332301085270019;deny;positive;present
155;1472695082167898112;believe;neutral;future
156;1467719326648221699;believe;negative;future
157;1451487137296048129;believe;positive;future
158;1461475053241991171;believe;negative;future
159;1494501569718628354;deny;positive;future
160;1511099489704153090;believe;positive;future
161;1484091887850070017;deny;negative;past
162;1515955568938467333;believe;positive;future
163;1473523902106128384;believe;negative;present
164;1488845940857442310;deny;neutral;past
165;1461770604722278402;believe;positive;future
166;1484614418491183110;believe;positive;future
167;1487903628966854656;deny;negative;future
168;1477324011474505737;believe;positive;future
169;1480947511313387525;believe;positive;future
170;1516441761240997890;believe;positive;present
171;1497032888625377306;deny;negative;past
172;1484152178243690496;believe;neutral;future
173;1498513478306381827;believe;positive;future
174;1483584831959220224;believe;neutral;past
175;1476266686038745091;believe;negative;future
176;1426676031595847680;believe;negative;future
177;1476583621687398405;believe;negative;future
178;1514587909240025091;believe;positive;future
179;1460982571546943497;believe;neutral;present
180;1515949985933795334;believe;positive;future
181;1513534760148156420;believe;positive;future
182;1494656983944859649;deny;negative;future
183;1474528178785947649;believe;negative;present
184;1492869972334424070;deny;negative;future
185;1514502658467713024;believe;positive;future
